帖子链接,帖子标题,时间,回复数量
https://www.douban.com/group/topic/245014285/,如何能逼自己写论文,09-05,45回应
https://www.douban.com/group/topic/244989095/,越来越想退学,09-04,39回应
https://www.douban.com/group/topic/244960451/,大四应届何去何从？,09-04,19回应
https://www.douban.com/group/topic/244925402/,uu们 是直接考公还是先考研再考公,09-04,22回应
https://www.douban.com/group/topic/244917611/,21届待业在家每天睡不醒中……,09-04,63回应
https://www.douban.com/group/topic/244779694/,经历&共鸣|其实人生怎么过都会后悔，不如……,09-02,2回应
https://www.douban.com/group/topic/244772958/,随便吐槽一下,09-02,0回应
https://www.douban.com/group/topic/244761991/,感觉自己要抑郁了,09-02,3回应
https://www.douban.com/group/topic/244682411/,辅导员把我档案弄丢了,09-02,9回应
https://www.douban.com/group/topic/244671980/,跨考or考公，这对我很重要,09-01,11回应
https://www.douban.com/group/topic/244659586/,异地gwy报到，没有想象中那么开心,09-01,44回应
https://www.douban.com/group/topic/244594541/,定向选调和国考一起要怎么准备？,09-01,13回应
https://www.douban.com/group/topic/244569278/,家里蹲考公被身边人问的心态崩了,08-31,21回应
https://www.douban.com/group/topic/244351018/,21届毕业的已经摆烂了，不知道何去何从。,08-29,49回应
https://www.douban.com/group/topic/244300994/,父母什么时候才能明白考公考编和学校没关系，和人有关,08-29,4回应
https://www.douban.com/group/topic/244210792/,冷门文科硕士除了考公还有出路吗,08-28,18回应
https://www.douban.com/group/topic/244148431/,刚刚入职，要不要辞职去读二学位呀,08-28,21回应
https://www.douban.com/group/topic/244135661/,“你自己觉得你还能干什么？”,08-27,63回应
https://www.douban.com/group/topic/244067157/,开学大三，留学or考研？,08-27,26回应
https://www.douban.com/group/topic/243912391/,传统工科的学生是不是和明朝的卫所兵很像？,08-26,5回应
https://www.douban.com/group/topic/243866417/,five焦虑日常‖身边的朋友都买房了,08-25,18回应
https://www.douban.com/group/topic/243846915/,姐妹们快帮我看看选什么路子好,08-25,6回应
https://www.douban.com/group/topic/243778529/,深夜emo，就业是成了墨西哥鸡内卷吗🚬,08-25,0回应
https://www.douban.com/group/topic/243724900/,到底考什么专业研究生容易考公/选调？,08-24,1回应
https://www.douban.com/group/topic/243720219/,宇宙的尽头是公务员,08-24,8回应
https://www.douban.com/group/topic/243717906/,跨考个政治学的硕士以后考公/选调容易吗？,08-24,8回应
https://www.douban.com/group/topic/243706898/,做简历做到丧失希望,08-24,6回应
https://www.douban.com/group/topic/243658997/,只有我一个人觉得自己患上了应试PTSD吗？,08-24,37回应
https://www.douban.com/group/topic/243619483/,制药工程跨考可以考啥呢家人们,08-23,0回应
https://www.douban.com/group/topic/243424402/,一本专硕or省会小学语文教师？,08-22,5回应
https://www.douban.com/group/topic/243331661/,一本mpacc or省会小学教师编？,08-21,23回应
https://www.douban.com/group/topic/243067751/,问下友友们读排名五百左右的研究生还是再来一年？,08-19,9回应
https://www.douban.com/group/topic/243046817/,经济财会这种专业考公堪比三不限吗？,08-19,19回应
https://www.douban.com/group/topic/243035741/,感叹：做柜姐的妹妹已经月入三四万了，而我的人生...,08-19,80回应
https://www.douban.com/group/topic/243012324/,江苏的优秀大学毕业生选调怎么样？,08-19,16回应
https://www.douban.com/group/topic/242892374/,公共管理专业 未来想考公 但有机会转专业,08-18,12回应
https://www.douban.com/group/topic/242847872/,21新传硕毕业即失业，事情怎么变成了这样,08-17,78回应
https://www.douban.com/group/topic/242842135/,竞争比1:800+省考上岸经历分享（更新面试逆袭经验）,08-17,70回应
https://www.douban.com/group/topic/242769420/,考研换专业还是继续考公,08-17,6回应
https://www.douban.com/group/topic/242739447/,:D感觉考公上岸遥遥无期,08-16,69回应
https://www.douban.com/group/topic/242729137/,有组队考公的吗,08-16,29回应
https://www.douban.com/group/topic/242288817/,感叹我的人生已经停滞8年了,08-12,76回应
https://www.douban.com/group/topic/242112865/,天坑本科five毕业该何去何从,08-11,3回应
https://www.douban.com/group/topic/242079821/,理性讨论省会公务员分数趋势,08-11,22回应
https://www.douban.com/group/topic/242076847/,汉语言考公真的是帝位吗？,08-11,24回应
https://www.douban.com/group/topic/241997203/,考研要从英专转成国际政治吗？,08-10,5回应
https://www.douban.com/group/topic/241886726/,连见习生岗位都看不上我😅❓,08-09,8回应
https://www.douban.com/group/topic/241662313/,即将本科毕业的985five入组报道,08-07,23回应
https://www.douban.com/group/topic/241422105/,开学研三焦虑毕不了业,08-07,8回应
https://www.douban.com/group/topic/241359351/,大家能接受同事的最低学历是什么呢,08-07,44回应
https://www.douban.com/group/topic/241168004/,二战同时准备考公还是雅思,08-06,15回应
https://www.douban.com/group/topic/241130316/,请问工作一年后硕士入学考公选调会有影响吗,08-06,2回应
https://www.douban.com/group/topic/241098802/,求问容易毕业和容易考公的非全日制研究生,08-06,15回应
https://www.douban.com/group/topic/241001836/,有21届待业考公的姐妹吗（组队已完成）,08-05,17回应
https://www.douban.com/group/topic/240984164/,求助🙏这种情况会影响政审吗,08-05,24回应
https://www.douban.com/group/topic/240736791/,考编被分到异地乡镇还有救吗？,08-03,5回应
https://www.douban.com/group/topic/240655882/,five因为考研对我报考的选择十分后悔,08-02,21回应
https://www.douban.com/group/topic/240628078/,转专业失败的five该何去何从,08-02,5回应
https://www.douban.com/group/topic/240620697/,一直有个问题,08-02,7回应
https://www.douban.com/group/topic/240553093/,流浪,08-02,0回应
https://www.douban.com/group/topic/240534212/,大家会选择异地乡镇基层吗,08-01,16回应
https://www.douban.com/group/topic/240423537/,28岁的女five们，你们都在干啥呀？,07-31,172回应
https://www.douban.com/group/topic/240333519/,uu们怎么选啊,07-31,0回应
https://www.douban.com/group/topic/240262237/,救……月薪3000,07-30,105回应
https://www.douban.com/group/topic/240143917/,开一个考公咨询和解答楼,07-29,2回应
https://www.douban.com/group/topic/240138399/,想放弃法硕,07-29,11回应
https://www.douban.com/group/topic/240078386/,末流985国贸毕业，大四考公没有上岸，得了一家跨境...,07-28,10回应
https://www.douban.com/group/topic/240077292/,考公真的很重要吗,07-28,21回应
https://www.douban.com/group/topic/240037698/,考公打卡楼（考上为止,07-28,11回应
https://www.douban.com/group/topic/240031374/,管综选手现在转数三是不来不及了，有没有人能劝劝我,07-28,24回应
https://www.douban.com/group/topic/240028082/,以考公考编为目的应该考什么专业的研？师范 法学 ...,07-28,27回应
https://www.douban.com/group/topic/236493742/,唯一一段实习是打杂 纯文科five怎么提升呢？,07-27,13回应
https://www.douban.com/group/topic/236473492/,管理科学本科研究生读图书情报专硕，这个专业冷门...,07-27,15回应
https://www.douban.com/group/topic/236444820/,自己不懂知足，怎么调整心态啊,07-27,22回应
https://www.douban.com/group/topic/236374221/,坑底废物的初就业经历,07-26,5回应
https://www.douban.com/group/topic/236349689/,非法本申到了澳洲llm，要去吗？,07-26,10回应
https://www.douban.com/group/topic/236272209/,废物进面了也很痛苦，求助,07-25,8回应
https://www.douban.com/group/topic/236264858/,高考失常即将大三了还可以退学重读吗？（没有年龄...,07-25,57回应
https://www.douban.com/group/topic/236242521/,认识十几年的朋友慢慢没了联系要主动挽回吗？,07-25,23回应
https://www.douban.com/group/topic/236036157/,医院量表检测出抑郁状态对工作有影响吗？,07-23,6回应
https://www.douban.com/group/topic/235943799/,象牙塔把我们驯化成了考试机器，除了学习考试其他...,07-22,4回应
https://www.douban.com/group/topic/235942907/,关于工作选择,07-22,56回应
https://www.douban.com/group/topic/235926527/,事业单位在职人员5年内无法考公吗？,07-22,8回应
https://www.douban.com/group/topic/235862662/,两财一贸两外一传er怎么克服学历焦虑,07-22,32回应
https://www.douban.com/group/topic/235800712/,关于【金融专硕or经济学硕】&【是否该跨考】或者【...,07-21,15回应
https://www.douban.com/group/topic/235763232/,大家实习提前离职用的是什么原因呀？,07-21,9回应
https://www.douban.com/group/topic/235735382/,实在睡不着了,07-21,5回应
https://www.douban.com/group/topic/235729606/,有five是在职考体制的吗,07-21,1回应
https://www.douban.com/group/topic/235673101/,哪里的体制内工作最香？,07-20,76回应
https://www.douban.com/group/topic/235671476/,二战期间挂靠公司有影响吗？,07-20,8回应
https://www.douban.com/group/topic/235658865/,毕业一年多的five如何找工作？,07-20,7回应
https://www.douban.com/group/topic/235656793/,求助，应届生要去家乡国企还是保留身份再试试秋招...,07-20,13回应
https://www.douban.com/group/topic/235611905/,现在有什么工作是能被称为有前途的吗？,07-19,17回应
https://www.douban.com/group/topic/235589190/,关于第二学士学位去不去的问题求UU们帮忙分析下,07-19,12回应
https://www.douban.com/group/topic/235557142/,得过抑郁症不能考公？,07-19,19回应
https://www.douban.com/group/topic/235554800/,21届five在国企,07-19,15回应
https://www.douban.com/group/topic/235550071/,家里蹲five自救，985天坑土木还是双非计算机，&纯...,07-19,8回应
https://www.douban.com/group/topic/235546331/,不知人生何去何从,07-19,10回应
https://www.douban.com/group/topic/235193031/,毕业待业一年了，不知道该干嘛,07-16,12回应
https://www.douban.com/group/topic/235150621/,商科five是否只能考公/事业编,07-16,23回应
https://www.douban.com/group/topic/235087864/,救救孩子可以给些建议嘛，985本双非硕出路在哪里，...,07-15,33回应
https://www.douban.com/group/topic/235070444/,应该考研还是考公呢,07-15,2回应
https://www.douban.com/group/topic/234999122/,昨天晚上做梦梦见自己大二转专业了,07-14,0回应
https://www.douban.com/group/topic/234939996/,天坑专业性价比已经很低了，为何课程安排依然要占...,07-14,25回应
https://www.douban.com/group/topic/234925063/,英语废物站在人生的岔路口上,07-14,3回应
https://www.douban.com/group/topic/234834530/,18届毕业的，好像做了个梦，一觉醒来，换了人间,07-13,43回应
https://www.douban.com/group/topic/234754651/,有必要保留应届身份考公考编吗,07-12,19回应
https://www.douban.com/group/topic/234718155/,原生家庭过于可以兜底😅甚至强行塑造成功,07-12,11回应
https://www.douban.com/group/topic/234678292/,挂了14科的five在大三修完了大学所有课程啦,07-12,61回应
https://www.douban.com/group/topic/234667945/,真的很烦，21届毕业考公失败的大家都有什么打算呢？,07-12,8回应
https://www.douban.com/group/topic/234641709/,有朋友了解人力资源COE吗,07-12,1回应
https://www.douban.com/group/topic/234612950/,985的会计er们有没有为了择业期还在家里蹲考公的……,07-11,4回应
https://www.douban.com/group/topic/234609037/,难道宇宙的尽头真的就是考公考编吗,07-11,56回应
https://www.douban.com/group/topic/234593990/,在宇宙的尽头（考公）有哪些还不错城市考上房价/收...,07-11,39回应
https://www.douban.com/group/topic/234553642/,法硕非法学三战择校问题想咨询一下意见,07-11,13回应
https://www.douban.com/group/topic/234504373/,马上应届 心里好丧,07-10,1回应
https://www.douban.com/group/topic/234236983/,有uu们因为不想刷题而拒绝选调/考公吗,07-09,14回应
https://www.douban.com/group/topic/234201049/,末流985分专业 进的暴富！帮帮孩子,07-08,33回应
https://www.douban.com/group/topic/234090646/,末流985新传选手出国还是考研top校？麻烦uu们解答！,07-08,30回应
https://www.douban.com/group/topic/234032121/,为了修双学位延毕一年值吗,07-07,22回应
https://www.douban.com/group/topic/234016748/,挂了一科会影响考公吗,07-07,17回应
https://www.douban.com/group/topic/233941071/,新港校留学回来能考公吗？,07-07,8回应
https://www.douban.com/group/topic/233875976/,关于申请港校获得应届生身份,07-06,15回应
https://www.douban.com/group/topic/233803353/,私企有哪些行业岗位是可以30岁后继续做的呢？,07-06,16回应
https://www.douban.com/group/topic/233773181/,自我剖析，我是靠优越感活着的人,07-05,102回应
https://www.douban.com/group/topic/233697895/,每个人的生活都这么苦吗，还是只有我这样？,07-05,93回应
https://www.douban.com/group/topic/233578734/,大三考公考研党的大家经历了期末考试月是如何回到...,07-04,4回应
https://www.douban.com/group/topic/233568318/,想辞职又不好意思,07-04,1回应
https://www.douban.com/group/topic/233549583/,大部分five人生有托底的选择吗？,07-04,70回应
https://www.douban.com/group/topic/233530205/,我又失眠了。（很长，快2000个字）,07-04,7回应
https://www.douban.com/group/topic/233381928/,21届本科毕业，现在只有一个中行柜员的offer🤧,07-03,5回应
https://www.douban.com/group/topic/233344304/,经历&共鸣丨又一次被父母的虚荣心震撼了,07-02,22回应
https://www.douban.com/group/topic/233292621/,每天工作10分钟的工作怎么办,07-02,29回应
https://www.douban.com/group/topic/233284274/,朋友们，我应该怎么办呢,07-02,9回应
https://www.douban.com/group/topic/233280613/,劳务派遣和第二学位选哪个,07-02,2回应
https://www.douban.com/group/topic/233260430/,有没有工作三年辞职考公的,07-02,2回应
https://www.douban.com/group/topic/233256639/,考研还是考公呢？,07-02,5回应
https://www.douban.com/group/topic/233207025/,被hr问觉不觉得自己做的决定失败,07-01,27回应
https://www.douban.com/group/topic/233177877/,犹豫是否重新跨专业考研读中文,07-01,5回应
https://www.douban.com/group/topic/233142521/,考公小组找小伙伴,07-01,3回应
https://www.douban.com/group/topic/233056557/,大三er的自白,06-30,44回应
https://www.douban.com/group/topic/232949212/,专业真的这么重要吗,06-30,4回应
https://www.douban.com/group/topic/232931459/,读研是决心读的，专业这样选择合适吗,06-29,6回应
https://www.douban.com/group/topic/232915103/,辅导员骗我不签三方不给报到证😄,06-29,2回应
https://www.douban.com/group/topic/232792182/,好歹是个末流985，就这么当柜员，在网点生生死死吗？,06-28,38回应
https://www.douban.com/group/topic/232765750/,材料考编考公为什么这么难啊,06-28,20回应
https://www.douban.com/group/topic/232711668/,已解决,06-28,1回应
https://www.douban.com/group/topic/232699476/,请问一下uu们 未来想考公考编的话 考研选计算机的...,06-28,14回应
https://www.douban.com/group/topic/232698893/,人才引进了还能考研/考公考走吗,06-28,6回应
https://www.douban.com/group/topic/232667397/,还有醒着的朋友吗，为自己是个废物而失眠...,06-28,1回应
https://www.douban.com/group/topic/232579331/,省会城市区级党建组织，去实习值得吗？,06-27,21回应
https://www.douban.com/group/topic/232523025/,大三大四还有机会站起来吗,06-27,5回应
https://www.douban.com/group/topic/232332867/,关于考公岗位择业期问题,06-25,10回应
https://www.douban.com/group/topic/232323946/,选择了家乡体制内后，我一生中最抑郁的时期开始了,06-25,180回应
https://www.douban.com/group/topic/232286782/,有没有从未实习过的five,06-25,9回应
https://www.douban.com/group/topic/232180112/,会计应届生就业选择：央企15强地产财务管培Vs老牌...,06-24,17回应
https://www.douban.com/group/topic/232097840/,感觉自己把一手好牌打得稀巴烂,06-24,6回应
https://www.douban.com/group/topic/232059015/,人怎么能保证连续十几年一直工作呢？,06-23,17回应
